#indeks;jakosc_wartosc;liczebnosc
0;2;277.0
1;3;0.0
2;4;0.0
3;5;0.0
4;6;0.0
5;7;0.0
6;8;0.0
7;9;0.0
8;10;0.0
9;11;0.0
10;12;1.0
11;13;10.0
12;14;27.0
13;15;109.0
14;16;282.0
15;17;471.0
16;18;599.0
17;19;660.0
18;20;664.0
19;21;842.0
20;22;990.0
21;23;1190.0
22;24;1503.0
23;25;1961.0
24;26;2374.0
25;27;3133.0
26;28;3814.0
27;29;5105.0
28;30;6515.0
29;31;8839.0
30;32;11991.0
31;33;17384.0
32;34;25714.0
33;35;42863.0
34;36;90916.0
35;37;260846.0
