#indeks;dlugosc_wartosc;liczebnosc
0;35;1058.0
1;40;961.0
2;45;836.0
3;50;1261.0
4;55;1112.0
5;60;1419.0
6;65;1519.0
7;70;1817.0
8;75;1931.0
9;80;2102.0
10;85;2435.0
11;90;2529.0
12;95;3207.0
13;100;3027.0
14;105;4059.0
15;110;3777.0
16;115;5123.0
17;120;4457.0
18;125;6177.0
19;130;5392.0
20;135;7547.0
21;140;6625.0
22;145;45697.0
23;150;542589.0
