#indeks;jakosc_wartosc;liczebnosc
0;2;556.0
1;3;0.0
2;4;0.0
3;5;0.0
4;6;0.0
5;7;0.0
6;8;0.0
7;9;0.0
8;10;0.0
9;11;0.0
10;12;1.0
11;13;1.0
12;14;32.0
13;15;115.0
14;16;304.0
15;17;481.0
16;18;713.0
17;19;838.0
18;20;991.0
19;21;1222.0
20;22;1475.0
21;23;1835.0
22;24;2290.0
23;25;2887.0
24;26;3594.0
25;27;4484.0
26;28;5563.0
27;29;7259.0
28;30;9346.0
29;31;11968.0
30;32;15991.0
31;33;22406.0
32;34;32405.0
33;35;52705.0
34;36;110511.0
35;37;366684.0
