#indeks;pozycja_w_odczycie;mediana_jakosc
0;1;34.0
0;2;34.0
0;3;34.0
0;4;34.0
0;5;34.0
0;6;38.0
0;7;38.0
0;8;38.0
0;9;38.0
0;14;38.0
0;19;38.0
0;24;38.0
0;29;38.0
0;34;38.0
0;39;38.0
0;44;38.0
0;49;38.0
0;54;38.0
0;59;38.0
0;64;38.0
0;69;38.0
0;74;38.0
0;79;38.0
0;84;38.0
0;89;38.0
0;94;38.0
0;99;38.0
0;104;38.0
0;109;38.0
0;114;38.0
0;119;38.0
0;124;38.0
0;129;38.0
0;134;38.0
0;139;38.0
0;144;38.0
0;149;38.0
0;151;37.5
