#indeks;jakosc_wartosc;liczebnosc
0;2;158.0
1;3;0.0
2;4;0.0
3;5;0.0
4;6;0.0
5;7;0.0
6;8;0.0
7;9;0.0
8;10;2.0
9;11;0.0
10;12;1.0
11;13;5.0
12;14;8.0
13;15;56.0
14;16;187.0
15;17;268.0
16;18;352.0
17;19;319.0
18;20;381.0
19;21;414.0
20;22;457.0
21;23;572.0
22;24;635.0
23;25;828.0
24;26;1100.0
25;27;1477.0
26;28;1913.0
27;29;2433.0
28;30;3309.0
29;31;4607.0
30;32;6761.0
31;33;9994.0
32;34;16209.0
33;35;29200.0
34;36;67761.0
35;37;226041.0
