#indeks;jakosc_wartosc;liczebnosc
0;2;156.0
1;3;0.0
2;4;0.0
3;5;0.0
4;6;0.0
5;7;0.0
6;8;0.0
7;9;0.0
8;10;0.0
9;11;0.0
10;12;0.0
11;13;0.0
12;14;0.0
13;15;0.0
14;16;2.0
15;17;4.0
16;18;24.0
17;19;65.0
18;20;87.0
19;21;144.0
20;22;197.0
21;23;215.0
22;24;327.0
23;25;514.0
24;26;841.0
25;27;1386.0
26;28;2171.0
27;29;3560.0
28;30;5311.0
29;31;7951.0
30;32;11447.0
31;33;16281.0
32;34;23435.0
33;35;35082.0
34;36;61542.0
35;37;204706.0
