#indeks;jakosc_wartosc;liczebnosc
0;2;276.0
1;3;0.0
2;4;0.0
3;5;0.0
4;6;0.0
5;7;0.0
6;8;0.0
7;9;0.0
8;10;0.0
9;11;0.0
10;12;0.0
11;13;0.0
12;14;0.0
13;15;0.0
14;16;1.0
15;17;10.0
16;18;34.0
17;19;89.0
18;20;176.0
19;21;219.0
20;22;264.0
21;23;298.0
22;24;331.0
23;25;488.0
24;26;827.0
25;27;1192.0
26;28;1931.0
27;29;3037.0
28;30;4617.0
29;31;7043.0
30;32;9948.0
31;33;14607.0
32;34;21462.0
33;35;32913.0
34;36;61516.0
35;37;327801.0
