#indeks;dlugosc_wartosc;liczebnosc
0;35;875.0
1;40;818.0
2;45;590.0
3;50;989.0
4;55;856.0
5;60;1119.0
6;65;1097.0
7;70;1415.0
8;75;1522.0
9;80;1707.0
10;85;1941.0
11;90;1996.0
12;95;2506.0
13;100;2358.0
14;105;3202.0
15;110;2913.0
16;115;3948.0
17;120;3435.0
18;125;5029.0
19;130;4291.0
20;135;5829.0
21;140;5123.0
22;145;38255.0
23;150;462616.0
