#indeks;dlugosc_wartosc;liczebnosc
0;35;876.0
1;40;824.0
2;45;593.0
3;50;996.0
4;55;860.0
5;60;1123.0
6;65;1105.0
7;70;1422.0
8;75;1545.0
9;80;1710.0
10;85;1947.0
11;90;2003.0
12;95;2523.0
13;100;2374.0
14;105;3211.0
15;110;2934.0
16;115;3975.0
17;120;3454.0
18;125;5053.0
19;130;4314.0
20;135;5865.0
21;140;5179.0
22;145;38492.0
23;150;462052.0
