#indeks;jakosc_wartosc;liczebnosc
0;16;2.0
1;17;9.0
2;18;11.0
3;19;32.0
4;20;84.0
5;21;227.0
6;22;592.0
7;23;1324.0
8;24;2703.0
9;25;5091.0
10;26;8801.0
11;27;14523.0
12;28;21892.0
13;29;31312.0
14;30;43704.0
15;31;62816.0
16;32;95186.0
17;33;160348.0
18;34;267324.0
19;35;182745.0
