#indeks;dlugosc_wartosc;liczebnosc
0;2.0;16348.0
1;2.0;18634.0
2;2.0;22760.0
3;2.0;23997.0
4;2.0;25722.0
5;2.0;26999.0
6;2.0;27864.0
7;2.0;27279.0
8;2.0;28828.0
9;2.0;28589.0
10;2.0;27773.0
11;2.0;28184.0
12;2.0;28073.0
13;2.0;28111.0
14;2.0;27952.0
15;2.0;28963.0
16;2.0;26930.0
17;2.0;27879.0
18;2.0;25913.0
19;2.0;25674.0
20;2.0;25474.0
21;2.0;26611.0
22;2.0;602259.0
