#indeks;jakosc_wartosc;liczebnosc
0;15;20.0
1;16;37.0
2;17;57.0
3;18;122.0
4;19;266.0
5;20;660.0
6;21;1282.0
7;22;2621.0
8;23;4783.0
9;24;8092.0
10;25;12760.0
11;26;18735.0
12;27;25867.0
13;28;34075.0
14;29;44515.0
15;30;57248.0
16;31;76288.0
17;32;106007.0
18;33;159435.0
19;34;226773.0
20;35;119083.0
