#indeks;jakosc_wartosc;liczebnosc
0;2;2.0
1;3;0.0
2;4;0.0
3;5;0.0
4;6;0.0
5;7;0.0
6;8;4.0
7;9;6.0
8;10;2.0
9;11;0.0
10;12;2.0
11;13;0.0
12;14;5.0
13;15;28.0
14;16;45.0
15;17;73.0
16;18;142.0
17;19;320.0
18;20;788.0
19;21;1515.0
20;22;3039.0
21;23;5618.0
22;24;9410.0
23;25;14603.0
24;26;21475.0
25;27;29879.0
26;28;39816.0
27;29;52803.0
28;30;68387.0
29;31;91277.0
30;32;126110.0
31;33;189766.0
32;34;288531.0
33;35;233170.0
