#indeks;dlugosc_wartosc;liczebnosc
0;0.5;11852.0
1;0.5;11113.0
2;0.5;11052.0
3;0.5;11262.0
4;0.5;11411.0
5;0.5;11557.0
6;0.5;11549.0
7;0.5;10855.0
8;0.5;11188.0
9;0.5;11619.0
10;0.5;12102.0
11;0.5;11632.0
12;0.5;11462.0
13;0.5;10590.0
14;0.5;11309.0
15;0.5;11500.0
16;0.5;11391.0
17;0.5;11691.0
18;0.5;10304.0
19;0.5;10491.0
20;0.5;10424.0
21;0.5;10679.0
22;0.5;10584.0
23;0.5;10501.0
24;0.5;10514.0
25;0.5;9897.0
26;0.5;10658.0
27;0.5;20709.0
28;0.5;140806.0
29;0.5;438024.0
