#indeks;pozycja_w_odczycie;mediana_jakosc
0;1;32.0
0;2;32.0
0;3;32.0
0;4;32.0
0;5;32.0
0;6;36.0
0;7;36.0
0;8;36.0
0;9;36.0
0;14;36.0
0;19;36.0
0;24;36.0
0;29;36.0
0;34;36.0
0;39;36.0
0;44;36.0
0;49;36.0
0;54;36.0
0;59;36.0
0;64;36.0
0;69;36.0
0;74;36.0
0;79;36.0
0;84;36.0
0;89;36.0
0;94;36.0
0;99;36.0
0;104;36.0
0;109;32.8
0;114;32.0
0;119;32.0
0;124;32.0
0;129;32.0
0;134;32.0
0;139;32.0
0;144;32.0
0;148;32.0
