#indeks;dlugosc_wartosc;liczebnosc
0;2.0;26018.0
1;2.0;28195.0
2;2.0;33204.0
3;2.0;34934.0
4;2.0;36027.0
5;2.0;37439.0
6;2.0;39242.0
7;2.0;37454.0
8;2.0;39526.0
9;2.0;38088.0
10;2.0;36890.0
11;2.0;36264.0
12;2.0;35516.0
13;2.0;36160.0
14;2.0;34939.0
15;2.0;35776.0
16;2.0;33202.0
17;2.0;33820.0
18;2.0;31426.0
19;2.0;30183.0
20;2.0;29440.0
21;2.0;30607.0
22;2.0;611648.0
