#indeks;jakosc_wartosc;liczebnosc
0;15;2.0
1;16;2.0
2;17;16.0
3;18;31.0
4;19;71.0
5;20;180.0
6;21;434.0
7;22;875.0
8;23;1611.0
9;24;2994.0
10;25;5093.0
11;26;8885.0
12;27;13967.0
13;28;21689.0
14;29;31370.0
15;30;43362.0
16;31;61608.0
17;32;93870.0
18;33;159737.0
19;34;290395.0
20;35;239312.0
