#indeks;jakosc_wartosc;liczebnosc
0;14;1.0
1;15;24.0
2;16;49.0
3;17;94.0
4;18;145.0
5;19;384.0
6;20;679.0
7;21;1321.0
8;22;2407.0
9;23;4014.0
10;24;6775.0
11;25;10605.0
12;26;15472.0
13;27;22355.0
14;28;30413.0
15;29;40535.0
16;30;54436.0
17;31;73586.0
18;32;106329.0
19;33;169874.0
20;34;269423.0
21;35;166583.0
