#indeks;dlugosc_wartosc;liczebnosc
0;0.5;14901.0
1;0.5;14294.0
2;0.5;14167.0
3;0.5;13832.0
4;0.5;14593.0
5;0.5;14902.0
6;0.5;14443.0
7;0.5;14086.0
8;0.5;13808.0
9;0.5;13877.0
10;0.5;14589.0
11;0.5;14040.0
12;0.5;13987.0
13;0.5;13332.0
14;0.5;13203.0
15;0.5;13889.0
16;0.5;13514.0
17;0.5;13777.0
18;0.5;12724.0
19;0.5;12503.0
20;0.5;12140.0
21;0.5;12691.0
22;0.5;12207.0
23;0.5;11907.0
24;0.5;12055.0
25;0.5;11312.0
26;0.5;11895.0
27;0.5;21827.0
28;0.5;138240.0
29;0.5;452769.0
