#indeks;jakosc_wartosc;liczebnosc
0;16;2.0
1;17;8.0
2;18;25.0
3;19;64.0
4;20;187.0
5;21;491.0
6;22;1194.0
7;23;2212.0
8;24;4151.0
9;25;7160.0
10;26;12106.0
11;27;19863.0
12;28;31067.0
13;29;45818.0
14;30;65260.0
15;31;92760.0
16;32;138643.0
17;33;233079.0
18;34;419316.0
19;35;463695.0
