#indeks;jakosc_wartosc;liczebnosc
0;14;1.0
1;15;20.0
2;16;65.0
3;17;112.0
4;18;178.0
5;19;390.0
6;20;773.0
7;21;1462.0
8;22;2678.0
9;23;4743.0
10;24;7952.0
11;25;12199.0
12;26;18054.0
13;27;25265.0
14;28;34725.0
15;29;46131.0
16;30;61082.0
17;31;82514.0
18;32;118183.0
19;33;186638.0
20;34;293707.0
21;35;181853.0
