#indeks;jakosc_wartosc;liczebnosc
0;16;2.0
1;17;8.0
2;18;24.0
3;19;60.0
4;20;168.0
5;21;394.0
6;22;882.0
7;23;1611.0
8;24;3075.0
9;25;5436.0
10;26;9294.0
11;27;15270.0
12;28;23556.0
13;29;34361.0
14;30;48673.0
15;31;70439.0
16;32;108123.0
17;33;186902.0
18;34;325101.0
19;35;245346.0
