#indeks;jakosc_wartosc;liczebnosc
0;2;13.0
1;3;0.0
2;4;0.0
3;5;0.0
4;6;0.0
5;7;0.0
6;8;2.0
7;9;2.0
8;10;2.0
9;11;1.0
10;12;2.0
11;13;4.0
12;14;6.0
13;15;53.0
14;16;139.0
15;17;324.0
16;18;538.0
17;19;1139.0
18;20;2059.0
19;21;3011.0
20;22;4397.0
21;23;6558.0
22;24;9928.0
23;25;14494.0
24;26;21053.0
25;27;29856.0
26;28;41012.0
27;29;55732.0
28;30;76521.0
29;31;104060.0
30;32;149151.0
31;33;234706.0
32;34;399877.0
33;35;424446.0
