#indeks;jakosc_wartosc;liczebnosc
0;14;2.0
1;15;42.0
2;16;118.0
3;17;292.0
4;18;492.0
5;19;1023.0
6;20;1801.0
7;21;2616.0
8;22;3769.0
9;23;5505.0
10;24;8237.0
11;25;11967.0
12;26;17214.0
13;27;24154.0
14;28;32448.0
15;29;43579.0
16;30;58825.0
17;31;79806.0
18;32;114751.0
19;33;181395.0
20;34;288799.0
21;35;192676.0
