#indeks;jakosc_wartosc;liczebnosc
0;15;2.0
1;16;1.0
2;17;52.0
3;18;151.0
4;19;386.0
5;20;821.0
6;21;1325.0
7;22;1966.0
8;23;2914.0
9;24;4522.0
10;25;6902.0
11;26;10955.0
12;27;16935.0
13;28;24604.0
14;29;35476.0
15;30;49504.0
16;31;70220.0
17;32;105651.0
18;33;175311.0
19;34;308233.0
20;35;253580.0
