#indeks;dlugosc_wartosc;liczebnosc
0;35;530.0
1;40;519.0
2;45;440.0
3;50;662.0
4;55;582.0
5;60;811.0
6;65;823.0
7;70;957.0
8;75;1044.0
9;80;1172.0
10;85;1442.0
11;90;1480.0
12;95;1820.0
13;100;1795.0
14;105;2304.0
15;110;2150.0
16;115;2926.0
17;120;2547.0
18;125;3710.0
19;130;3284.0
20;135;4592.0
21;140;3988.0
22;145;33176.0
23;150;395940.0
