#indeks;dlugosc_wartosc;liczebnosc
0;35;300.0
1;40;353.0
2;45;317.0
3;50;458.0
4;55;457.0
5;60;639.0
6;65;650.0
7;70;794.0
8;75;866.0
9;80;942.0
10;85;1119.0
11;90;1173.0
12;95;1586.0
13;100;1479.0
14;105;1948.0
15;110;1900.0
16;115;2571.0
17;120;2201.0
18;125;3318.0
19;130;2794.0
20;135;3924.0
21;140;3393.0
22;145;26813.0
23;150;315453.0
