#indeks;jakosc_wartosc;liczebnosc
0;2;472.0
1;3;0.0
2;4;0.0
3;5;0.0
4;6;0.0
5;7;0.0
6;8;0.0
7;9;0.0
8;10;0.0
9;11;0.0
10;12;0.0
11;13;0.0
12;14;0.0
13;15;0.0
14;16;0.0
15;17;1.0
16;18;5.0
17;19;9.0
18;20;33.0
19;21;64.0
20;22;116.0
21;23;191.0
22;24;258.0
23;25;379.0
24;26;614.0
25;27;941.0
26;28;1644.0
27;29;2506.0
28;30;4046.0
29;31;6018.0
30;32;8894.0
31;33;13256.0
32;34;19581.0
33;35;30008.0
34;36;57450.0
35;37;407944.0
